mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/03/2020;5e74d202d1498c5bdf8aafe3;cnpj;6000;"4884,61";63500;"2122,83";10;13;0;35;11;0;0
01/03/2020;5e78dafeb5ac867c7e85eb5e;cnpj;1800;1800;3600;0;0;2;0;0;11;0;0
01/03/2020;5e73e21359193c2f123c1076;cnpj;"159,9";"104,9";"209,8";"77,78";0;2;0;14;11;0;0
01/04/2020;5e7262c49d55ea5dbea59d57;cnpj;600;600;1800;0;0;3;0;18;11;0;0
01/04/2020;5e610d9f66945c0f82dd357f;cnpj;2941;"1764,6";8823;"657,63";2;5;0;65;12;0;0
01/04/2020;5e820bd5afa5275e41256253;cnpj;10;10;10;0;1;1;0;5;11;0;0
01/04/2020;5e8608cc1a20cb550a715bd8;cnpj;200;200;200;0;1;1;0;8;11;0;0
01/05/2020;5e72623f841f1c7cfa61dcb2;cpf;600;600;1200;0;0;2;0;0;11;0;0
01/05/2020;5e8b7e5769966e545f7bc9f8;cnpj;"601,78";"214,74";"2362,18";"158,4";7;11;0;100;11;0;0
01/05/2020;5e876f801a092b6e4539d068;cnpj;149;149;149;0;1;1;0;36;11;0;0
01/05/2020;5ea99f77d9cbe95e352089b7;cnpj;180;"84,4";422;"79,98";1;5;0;2;10;0;0
01/05/2020;5ea1bc658a203a76321248a0;cnpj;"89,1";"89,1";"89,1";0;1;1;0;5;10;0;0
01/05/2020;5ea820b5373a7770690eb887;cnpj;"265,9";"134,16";"670,8";"85,68";4;5;0;15;10;0;0
01/05/2020;5e9ef318d42f9e40e3f0ba14;cnpj;"491,7";"438,72";"1754,9";"105,95";1;4;0;4;10;0;0
01/05/2020;5ebb0a6b6c9e533f06d98293;cnpj;301;170;340;"185,26";1;2;0;18;10;0;0
01/05/2020;5ea1cc59bd0574394df68073;cnpj;580;340;1360;"277,13";2;4;0;41;10;0;0
01/05/2020;5e7dfe68f1915963c9cfef4f;cnpj;"192,9";"103,17";"1341,3";"56,98";7;13;0;108;11;0;0
01/05/2020;5ebef7cde2e1ab2f446a3228;cpf;140;"133,88";1205;"9,28";1;9;0;3;9;0;0
01/05/2020;5e7baee9fce7413780b75def;cnpj;250;"176,66";530;"63,51";3;3;0;28;11;0;0
01/06/2020;5e99c758aaeca2229f209d5e;cnpj;5000;"237,08";"146515,88";"341,44";338;618;0;104;10;0;0
01/06/2020;5ec46ded7004d836c5268840;cnpj;400;"127,22";"508,9";"182,63";4;4;0;14;9;0;0
01/06/2020;5e77824ab5ac867c7e85e903;cnpj;265;"251,5";503;"19,09";2;2;0;278;11;0;0
01/06/2020;5eb5b21a010cad518bdaf8d7;cnpj;500;"233,33";700;"230,94";2;3;0;13;10;0;0
01/06/2020;5ec2c7017cfdbb78901cc442;cnpj;200;200;200;0;1;1;0;2;9;0;0
01/06/2020;5e822a7fe4ceb07990623c56;cnpj;1000;"191,31";23723;"85,44";79;124;0;149;11;0;0
01/06/2020;5eb46926a19de453bf3b4370;cnpj;69;69;69;0;1;1;0;6;10;0;0
01/06/2020;5e9734d6d8e0231001dd9ed3;cnpj;"254,8";"206,84";"1034,2";"43,74";1;5;0;5;10;0;0
01/06/2020;5e774bbd82f3d31f6546f54b;cnpj;850;850;1700;0;2;2;0;10;11;0;0
01/06/2020;5e8220cfa6f5644eca273852;cnpj;350;"188,92";"6990,07";"51,83";33;37;0;0;11;0;0
01/06/2020;5e750ad3b4e7815be49a1581;cnpj;"32,44";"32,44";"32,44";0;0;1;0;23;11;0;0
01/06/2020;5e83fbdb28b100238967a494;cpf;545;280;3920;"146,85";10;14;0;0;11;0;0
